#,Unnamed: 1
"""Местное время в Варандее"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""08.05.2023 06:00"";""-7.0"";""760.3"";""761.0"";""-0.6"";""86"";""Ветер, дующий с северо-северо-запада"";""5"";"""";"""";""40%."";"" "";"""";"""";""-7.6"";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""46.0""",
"""08.05.2023 03:00"";""-7.4"";""760.9"";""761.5"";""-0.3"";""88"";""Ветер, дующий с севера"";""7"";"""";""12"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-9.1"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 00:00"";""-7.0"";""761.2"";""761.9"";""-0.5"";""84"";""Ветер, дующий с севера"";""7"";"""";""12"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-9.3"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 21:00"";""-6.7"";""761.7"";""762.4"";""-0.7"";""85"";""Ветер, дующий с северо-северо-востока"";""10"";""11"";""13"";""40%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.9"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 18:00"";""-5.8"";""762.4"";""763.0"";""-0.4"";""84"";""Ветер, дующий с северо-северо-востока"";""10"";""13"";""13"";""40%."";"" "";"""";"""";"""";""-5.6"";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""20–30%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-8.1"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""07.05.2023 15:00"";""-5.8"";""762.8"";""763.5"";""-0.5"";""85"";""Ветер, дующий с севера"";""10"";""13"";""13"";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""70 – 80%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.9"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 12:00"";""-6.0"";""763.3"";""764.0"";""-0.8"";""85"";""Ветер, дующий с северо-северо-востока"";""10"";""13"";""13"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.1"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 09:00"";""-6.1"";""764.1"";""764.8"";""-1.0"";""85"";""Ветер, дующий с северо-востока"";""10"";""13"";""13"";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.3"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 06:00"";""-6.2"";""765.1"";""765.7"";""-0.7"";""83"";""Ветер, дующий с северо-востока"";""8"";""10"";""11"";""100%."";"" "";"""";"""";""-6.9"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-8.6"";""Следы осадков"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""47.0""",
"""07.05.2023 03:00"";""-6.9"";""765.8"";""766.5"";""-0.9"";""87"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-8.7"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 00:00"";""-6.4"";""766.7"";""767.4"";""-0.6"";""85"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-8.6"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 21:00"";""-5.7"";""767.3"";""768.0"";""-0.2"";""81"";""Ветер, дующий с северо-востока"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-8.4"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 18:00"";""-5.4"";""767.5"";""768.2"";""-0.2"";""81"";""Ветер, дующий с северо-востока"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-4.6"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.2"";""0.2"";""12"";"""";"""";"""";""""",
"""06.05.2023 15:00"";""-4.8"";""767.7"";""768.4"";""0.4"";""82"";""Ветер, дующий с северо-востока"";""4"";"""";"""";""90  или более, но не 100%"";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""10.0"";""-7.5"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 12:00"";""-5.2"";""767.3"";""768.0"";""0.5"";""83"";""Ветер, дующий с востоко-северо-востока"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.0"";""-7.7"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 09:00"";""-5.5"";""766.8"";""767.5"";""0.6"";""85"";""Ветер, дующий с востоко-северо-востока"";""3"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""10.0"";""-7.7"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 06:00"";""-5.9"";""766.2"";""766.9"";""0.8"";""87"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-5.9"";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""10.0"";""-7.7"";""Следы осадков"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""47.0""",
"""06.05.2023 03:00"";""-5.4"";""765.4"";""766.0"";""1.1"";""89"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""20.0"";""-7.0"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 00:00"";""-5.4"";""764.3"";""765.0"";""1.0"";""89"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-6.9"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 21:00"";""-4.5"";""763.3"";""763.9"";""2.1"";""89"";""Ветер, дующий с севера"";""4"";"""";""11"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""20.0"";""-6.0"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 18:00"";""-3.9"";""761.2"";""761.9"";""2.9"";""94"";""Ветер, дующий с северо-северо-запада"";""6"";"""";""11"";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.0"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""2.0"";""-4.7"";""0.4"";""12"";"""";"""";"""";""""",
"""05.05.2023 15:00"";""-2.2"";""758.3"";""759.0"";""2.5"";""94"";""Ветер, дующий с западо-северо-запада"";""8"";""10"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""-3.0"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 12:00"";""-0.7"";""755.8"";""756.4"";""1.4"";""96"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""11"";""100%."";""Дымка. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""4.0"";""-1.3"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 09:00"";""-0.3"";""754.4"";""755.0"";""1.0"";""97"";""Ветер, дующий с западо-юго-запада"";""5"";"""";""11"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-0.8"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2000-2500"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 06:00"";""-0.4"";""753.4"";""754.0"";""1.0"";""97"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""90  или более, но не 100%"";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-0.5"";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""90  или более, но не 100%"";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""4.0"";""-0.8"";""0.8"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью.""","""47.0"""
"""05.05.2023 03:00"";""-0.2"";""752.4"";""753.0"";""-0.1"";""98"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""-0.5"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 00:00"";""0.2"";""752.5"";""753.1"";""-0.5"";""99"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Дождь со снегом или другими видами твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""10.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 21:00"";""0.2"";""753.0"";""753.6"";""0.2"";""99"";""Ветер, дующий с юго-юго-запада"";""7"";"""";""11"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Дождь со снегом или другими видами твердых осадков"";""Дождь."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 18:00"";""1.1"";""752.8"";""753.4"";""0.2"";""93"";""Ветер, дующий с юга"";""7"";"""";""10"";""70 – 80%."";""Дождь (незамерзающий) неливневый. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""2.1"";""Слоисто-кучевые, образовавшиеся из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.1"";""2.0"";""12"";"""";"""";"""";""""",
"""04.05.2023 15:00"";""1.6"";""752.6"";""753.2"";""-0.4"";""92"";""Ветер, дующий с юга"";""5"";"""";"""";""60%."";""Состояние неба в общем не изменилось. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""0.4"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 12:00"";""1.9"";""753.0"";""753.6"";""-0.7"";""91"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""100%."";""Дождь незамерзающий непрерывный слабый в срок наблюдения. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""20.0"";""0.6"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 09:00"";""0.5"";""753.7"";""754.3"";""-1.6"";""89"";""Ветер, дующий с востока"";""6"";"""";""10"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-1.1"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 06:00"";""-1.5"";""755.3"";""755.9"";""-1.7"";""88"";""Ветер, дующий с востока"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";""-4.0"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-3.2"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""47.0""",
"""04.05.2023 03:00"";""-3.9"";""757.0"";""757.7"";""-1.5"";""91"";""Ветер, дующий с востока"";""5"";"""";""10"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""40%."";""2000-2500"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-5.1"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 00:00"";""-2.5"";""758.5"";""759.2"";""-2.1"";""94"";""Ветер, дующий с востоко-северо-востока"";""7"";"""";""10"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-3.3"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 21:00"";""-0.8"";""760.6"";""761.3"";""-1.2"";""89"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-2.4"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 18:00"";""0.1"";""761.8"";""762.4"";""-0.5"";""85"";""Ветер, дующий с востока"";""3"";"""";"""";""60%."";"" "";"""";"""";"""";""4.1"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-2.2"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""03.05.2023 15:00"";""1.9"";""762.3"";""763.0"";""0.3"";""71"";""Штиль, безветрие"";""0"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые башенкообразные или хлопьевидные."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-2.9"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 12:00"";""0.9"";""762.0"";""762.7"";""1.0"";""85"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2000-2500"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.3"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 09:00"";""0.8"";""761.0"";""761.7"";""0.4"";""90"";""Ветер, дующий с юго-запада"";""6"";"""";""13"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 06:00"";""0.1"";""760.6"";""761.2"";""0.6"";""88"";""Ветер, дующий с юго-запада"";""10"";""12"";""13"";""60%."";"" "";"""";"""";""-1.0"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-1.6"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""48.0""",
"""03.05.2023 03:00"";""-0.6"";""760.0"";""760.6"";""1.2"";""90"";""Ветер, дующий с юго-юго-запада"";""10"";""12"";""20"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-2.0"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 00:00"";""0.6"";""758.8"";""759.5"";""1.3"";""90"";""Ветер, дующий с юго-запада"";""12"";""14"";""20"";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.8"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 21:00"";""1.4"";""757.5"";""758.1"";""2.6"";""89"";""Ветер, дующий с юго-запада"";""15"";""18"";""23"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-0.3"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 18:00"";""1.0"";""754.9"";""755.5"";""1.9"";""94"";""Ветер, дующий с юго-запада"";""17"";""21"";""23"";""100%."";"" "";"""";"""";"""";""2.2"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""10.0"";""0.1"";""1.0"";""12"";"""";"""";"""";""""",
"""02.05.2023 15:00"";""1.3"";""753.0"";""753.6"";""1.7"";""92"";""Ветер, дующий с юго-юго-запада"";""12"";""15"";""16"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""0.1"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 12:00"";""0.9"";""751.3"";""751.9"";""0.9"";""98"";""Ветер, дующий с юго-юго-запада"";""8"";"""";""13"";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""1.0"";""0.6"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 09:00"";""1.4"";""750.4"";""751.0"";""-2.0"";""95"";""Ветер, дующий с юга"";""10"";""12"";""14"";""100%."";""Дымка. "";""Дождь."";""Морось."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""4.0"";""0.7"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 06:00"";""2.2"";""752.4"";""753.0"";""-2.9"";""83"";""Ветер, дующий с юга"";""9"";""11"";""14"";""100%."";""Дождь незамерзающий непрерывный слабый в срок наблюдения. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-5.3"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.0"";""-0.4"";""0.6"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""53.0""",
"""02.05.2023 03:00"";""1.2"";""755.3"";""755.9"";""-3.5"";""82"";""Ветер, дующий с юго-востока"";""9"";""12"";""13"";""100%."";""Дождь (незамерзающий) неливневый. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-1.5"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 00:00"";""-1.7"";""758.8"";""759.4"";""-3.1"";""81"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-4.5"";"""";"""";"""";"""";"""";""""",
"""01.05.2023 21:00"";""-5.3"";""761.9"";""762.6"";""-2.3"";""90"";""Ветер, дующий с востока"";""6"";"""";""11"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-6.7"";"""";"""";"""";"""";"""";""""",
